gene	color	max_enrichment_bins
POLH	#dbe9f6	2.1293383198682423
POLL	#e3eef8	1.8233522524159107
POLQ	#e1edf8	1.8840341496982933
POLR2F	#e2edf8	1.851441725203258
POLR2H	#d5e5f4	2.381327682207085
POLR2J2	#f0f6fd	1.294134671139139
POLR2J3	#deebf7	2.0130732425724687
POLR3GL	#eef5fc	1.382768349376183
POLRMT	#f1f7fd	1.279081650951085
POM121C	#f4f9fe	1.1382100585276116
POMC	#e4eff9	1.7725197044265233
POMGNT2	#f6faff	1.0497813901371542
PON1	#eaf2fb	1.5403548777793403
POU3F2	#e3eef8	1.8141553317470738
POU4F2	#f4f9fe	1.1424606709861038
POU5F1	#dfecf7	1.9455066191468129
PPAPDC1A	#eff6fc	1.339407477516706
PPAPDC3	#edf4fc	1.4105256602641687
PPARGC1B	#cee0f2	2.6572200046645733
PPCS	#deebf7	2.03026085293609
PPEF2	#d3e4f3	2.467862440928865
PPFIA1	#edf4fc	1.4326472535970582
PPFIA2	#e4eff9	1.7674455416024424
PPFIA3	#f5f9fe	1.1217510679681841
PPFIBP2	#d1e2f3	2.5535468621397266
PPIA	#f3f8fe	1.1855429060430291
PPIAL4G	#f4f9fe	1.125149883871509
PPIL1	#e2edf8	1.8523486209851654
PPIL3	#d3e3f3	2.4891916182994844
PPM1B	#dfebf7	1.9763568827593887
PPM1F	#e1edf8	1.8764457844229596
PPM1G	#e4eff9	1.774710664744028
PPM1H	#ddeaf7	2.0498592305047443
PPM1L	#f1f7fd	1.269424627176225
PPP1R10	#8dc1dd	4.342110897400325
PPP1R12B	#e4eff9	1.7586662702284885
PPP1R12C	#eef5fc	1.348393575548477
PPP1R13B	#deebf7	2.0012446150682996
PPP1R14C	#edf4fc	1.4198908662771053
PPP1R14D	#e3eef8	1.8200300998478462
PPP1R16B	#e7f0fa	1.6653333529185212
PPP1R17	#edf4fc	1.4227401334678913
PPP1R27	#e3eef9	1.811642547807256
PPP1R36	#f2f8fd	1.2023785687846986
PPP1R3A	#f5fafe	1.0739376333664528
PPP1R3G	#ecf4fb	1.4476673246275529
PPP1R42	#dce9f6	2.1217063002155707
PPP1R7	#dfecf7	1.9593843624078848
PPP1R9A	#f1f7fd	1.2759229860604404
PPP2R2B	#e3eef8	1.8341682971582123
PPP2R3B	#f3f8fe	1.171404967043857
